package_name,app_name,label,developer,permissions
com.mobile.zgcbank,中关村银行,金融理财/银行,北京中关村银行股份有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 蓝牙管理 | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 允许接收 Wi-Fi 多播 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 检索当前运行的应用程序 | 控制媒体音量 | 装载和卸载文件系统 | 使用NFC | 读取联系人 | 获取手机信息 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 添加/修改日历活动 | 访问日历 | 读取文件与文档 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 运行前台服务
com.picc.vmeng,人保V盟,金融理财/股票,中国人民财产保险股份有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 开关WLAN | 拍摄照片和视频 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制媒体音量 | 获取手机信息 | 录音 | 使用帐户的身份验证凭据 | 控制振动器 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.POST_NOTIFICATIONS | 后台位置权限 | 运行前台服务
com.hxb.mobile.client,华夏银行,金融理财/银行,华夏银行股份有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 蓝牙管理 | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 检索当前运行的应用程序 | 控制媒体音量 | 格式化外部存储设备 | 装载和卸载文件系统 | 使用NFC | 读取联系人 | 获取手机信息 | 读取短信 | 接收短信 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 连接到配对的蓝牙设备 | android.permission.BLUETOOTH_SCAN | 运行前台服务 | android.permission.HIGH_SAMPLING_RATE_SENSORS
com.bankcomm.Bankcomm,交通银行,金融理财/银行,交通银行股份有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 蓝牙管理 | 拍摄照片和视频 | 更改网络连接性 | 允许接收 Wi-Fi 多播 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 检索当前运行的应用程序 | 直接安装应用程序 | 结束后台进程 | 控制媒体音量 | 使用NFC | 读取联系人 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 添加/修改日历活动 | 修改系统设置项 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 连接到配对的蓝牙设备 | android.permission.BLUETOOTH_SCAN | 运行前台服务
com.cairh.khapp.htsec.fuzhoulu,国泰海通开户-股票证券极速开户,金融理财/股票,国泰海通证券股份有限公司,查看网络状态 | 访问 SurfaceFlinger | 拍摄照片和视频 | 更改网络连接性 | 完全的互联网访问权限 | 控制媒体音量 | 使用NFC | 获取手机信息 | 录音 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档
com.paic.zhifu.wallet.activity,壹钱包-基金理财积分加油,金融理财/支付,平安付电子支付有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 蓝牙管理 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 结束后台进程 | 控制媒体音量 | 装载和卸载文件系统 | 读取联系人 | 查阅敏感日志数据 | 获取手机信息 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 添加/修改日历活动 | 修改系统设置项 | 访问日历 | 读取文件与文档 | android.permission.USE_FINGERPRINT | android.permission.SCHEDULE_EXACT_ALARM | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 运行前台服务
com.utrusts.marketing,粤财信托,金融理财/银行,广东粤财信托有限公司,查看网络状态 | 开关WLAN | 开关蓝牙 | 拍摄照片和视频 | 完全的互联网访问权限 | 控制媒体音量 | 获取手机信息 | 录音 | 写入文件与文档 | 以悬浮窗的形式显示 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | 管理所有文件 | 运行前台服务 | android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION
com.xced7.xced,新橙e贷,金融理财/贷款,南京市三六五互联网科技小额贷款有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 开关WLAN | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 读取联系人 | 获取手机信息 | 录音 | 写入文件与文档 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO
uni.UNIB6FCC53,贝来米,金融理财/支付,成都亿速易汇电子科技有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 访问手机账户 | 检索当前运行的应用程序 | 直接安装应用程序 | 装载和卸载文件系统 | 读取联系人 | 查阅敏感日志数据 | 获取手机信息 | 开机时自动启动 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 修改联系人 | 修改系统设置项 | 读取文件与文档 | android.permission.SCHEDULE_EXACT_ALARM | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 后台位置权限 | 运行前台服务
uni.UNI8471B77,贝来米展业宝-贝来米展业宝,金融理财/支付,成都亿速易汇电子科技有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 直接安装应用程序 | 装载和卸载文件系统 | 获取手机信息 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES
